fips,name,state,Number_of_returns,estimated_exams,audit_rate,audit_rate_trunk
31177,"Washington County, Nebraska",Nebraska,38370,261,6.802189210320563,6.802189210320563
31179,"Wayne County, Nebraska",Nebraska,14890,102,6.850235057085292,6.850235057085292
31181,"Webster County, Nebraska",Nebraska,6490,50,7.704160246533128,7.704160246533128
31183,"Wheeler County, Nebraska",Nebraska,1530,7,4.575163398692811,6
31185,"York County, Nebraska",Nebraska,26610,194,7.290492296129274,7.290492296129274
32001,"Churchill County, Nevada",Nevada,43500,320,7.35632183908046,7.35632183908046
32003,"Clark County, Nevada",Nevada,3810900,29471,7.733343829541578,7.733343829541578
32005,"Douglas County, Nevada",Nevada,100890,765,7.5825156110615515,7.5825156110615515
32007,"Elko County, Nevada",Nevada,94480,646,6.837425910245554,6.837425910245554
32009,"Esmeralda County, Nevada",Nevada,1650,4,2.4242424242424243,6
32011,"Eureka County, Nevada",Nevada,3210,21,6.542056074766355,6.542056074766355
32013,"Humboldt County, Nevada",Nevada,32140,237,7.373988799004357,7.373988799004357
32015,"Lander County, Nevada",Nevada,10790,75,6.950880444856348,6.950880444856348
32017,"Lincoln County, Nevada",Nevada,7170,54,7.531380753138075,7.531380753138075
32019,"Lyon County, Nevada",Nevada,97e3,703,7.247422680412371,7.247422680412371
32021,"Mineral County, Nevada",Nevada,7680,59,7.682291666666666,7.682291666666666
32023,"Nye County, Nevada",Nevada,71890,537,7.469745444428989,7.469745444428989
32027,"Pershing County, Nevada",Nevada,8320,59,7.091346153846154,7.091346153846154
32029,"Storey County, Nevada",Nevada,7400,48,6.486486486486486,6.486486486486486
32031,"Washoe County, Nevada",Nevada,849360,6362,7.490345672035415,7.490345672035415
32033,"White Pine County, Nevada",Nevada,16500,118,7.151515151515151,7.151515151515151
32510,"Carson City, Nevada",Nevada,106350,787,7.400094029149036,7.400094029149036
33001,"Belknap County, New Hampshire",New Hampshire,130730,930,7.113898875545016,7.113898875545016
33003,"Carroll County, New Hampshire",New Hampshire,102500,749,7.307317073170731,7.307317073170731
33005,"Cheshire County, New Hampshire",New Hampshire,149040,1023,6.863929146537842,6.863929146537842
33007,"Coos County, New Hampshire",New Hampshire,60530,444,7.335205683132331,7.335205683132331
33009,"Grafton County, New Hampshire",New Hampshire,176180,1265,7.180156657963447,7.180156657963447
